route,score,label
grounded,1.0,1
closedbook,6.653904e-10,1
closedbook,3.9116282e-10,0
math,0.0,0
math,0.0,0
math,0.0,0
grounded,0.9999976,1
closedbook,3.6801703e-13,1
grounded,5.0803185e-12,0
closedbook,8.916237e-12,1
closedbook,3.546634e-12,0
grounded,0.99999994,1
closedbook,1.0,1
closedbook,0.49943322,0
closedbook,1.8689447e-12,0
closedbook,5.7480958e-09,0
grounded,0.6471075,1
grounded,1.0,1
grounded,8.1868855e-08,0
grounded,0.99999803,1
closedbook,0.00036609062,0
closedbook,3.0417942e-07,0
math,1.0,1
grounded,0.65871346,1
closedbook,1.0,1
closedbook,2.9191238e-08,1
closedbook,5.6913857e-10,0
grounded,0.96522915,1
grounded,1.0,1
closedbook,1.0632908e-09,0
math,0.6666667,1
grounded,0.9999941,1
grounded,3.7538757e-11,0
math,0.0,0
grounded,0.99999994,1
closedbook,1.0755034e-11,0
closedbook,3.659216e-12,0
grounded,0.99998,0
closedbook,3.179182e-12,0
closedbook,0.007953198,1
grounded,0.99999845,0
closedbook,0.1,0
closedbook,3.6329087e-08,0
closedbook,1.790874e-10,0
closedbook,9.6552735e-15,0
grounded,1.17763075e-05,0
closedbook,0.6503728,0
closedbook,0.10000001,1
closedbook,2.5545445e-12,0
closedbook,2.6843742e-07,1
closedbook,3.5615783e-10,0
grounded,8.1183255e-12,0
closedbook,3.3127837e-11,0
grounded,1.1998107e-11,0
closedbook,3.669104e-07,0
closedbook,0.30000022,1
grounded,0.99999994,1
grounded,6.067575e-13,0
closedbook,0.40002915,1
closedbook,1.4846867e-10,0
math,0.0,0
closedbook,1.31971934e-14,0
closedbook,7.083044e-10,0
closedbook,0.1,1
closedbook,0.19990583,0
closedbook,8.778003e-12,1
grounded,2.569173e-13,0
closedbook,3.8672113e-08,0
grounded,5.973506e-13,0
closedbook,0.5533453,1
closedbook,0.10026789,1
closedbook,1.01186395e-14,0
closedbook,9.383508e-10,0
closedbook,0.40000004,1
grounded,1.0,1
grounded,2.7621213e-12,0
grounded,2.2543777e-12,1
grounded,0.7136587,1
closedbook,0.628416,1
grounded,9.344136e-12,0
closedbook,0.5357956,0
closedbook,0.99998665,1
grounded,3.8672113e-08,1
grounded,0.99991566,1
closedbook,2.1089055e-14,0
closedbook,2.1511421e-12,0
grounded,1.0,1
closedbook,0.1,0
math,0.0,0
closedbook,7.307884e-10,1
grounded,3.9836523e-05,0
closedbook,1.7705382e-08,0
closedbook,0.95745045,1
grounded,0.9999989,1
grounded,0.97628707,1
grounded,0.16666667,1
grounded,0.9997913,1
grounded,1.0,1
grounded,3.0070762e-05,0
closedbook,0.20000008,1
math,1.0,1
closedbook,1.8218164e-13,0
closedbook,5.6267588e-08,1
closedbook,5.9215718e-06,0
closedbook,0.1,1
math,1.0,0
closedbook,0.80483186,1
closedbook,1.829493e-11,0
closedbook,1.6753111e-12,0
closedbook,2.4968589e-08,0
closedbook,9.777841e-09,0
closedbook,0.9,1
grounded,0.01811003,0
grounded,0.9999993,1
math,0.0,1
closedbook,3.934028e-11,0
closedbook,4.4391327e-13,0
grounded,3.9836523e-05,0
grounded,2.4722253e-09,0
grounded,0.9999998,1
closedbook,0.1,0
closedbook,0.55096036,1
closedbook,1.0,1
grounded,2.4441525e-07,0
closedbook,0.6344707,1
grounded,1.0,1
closedbook,0.92983186,1
closedbook,6.4589e-13,1
grounded,1.0,1
grounded,0.9999999,1
grounded,0.99999994,1
math,1.0,1
grounded,0.9996103,1
closedbook,0.10001377,1
closedbook,2.052634e-12,0
grounded,3.8290575e-09,0
grounded,0.99999976,1
closedbook,0.30105785,1
grounded,0.9999999,1
grounded,1.0,1
closedbook,2.029326e-10,0
closedbook,1.2771919e-11,1
grounded,0.9999858,1
closedbook,0.9999951,0
grounded,1.6753111e-12,0
grounded,0.0060268897,1
closedbook,3.3407574e-07,0
closedbook,1.7483441e-14,0
grounded,2.1177918e-12,0
closedbook,0.35315275,1
closedbook,0.58890545,1
grounded,0.99999994,1
grounded,1.0,1
math,0.0,0
closedbook,1.0,1
closedbook,0.5000657,1
closedbook,1.02040924e-10,1
closedbook,0.62276477,0
grounded,0.9998847,1
grounded,4.860773e-07,0
grounded,2.1784392e-06,0
grounded,5.8720495e-10,1
closedbook,0.30000064,1
closedbook,1.0,1
closedbook,9.451459e-14,0
grounded,0.19760467,1
math,0.0,1
math,0.0,0
grounded,7.205424e-13,1
closedbook,1.0,1
closedbook,5.138669e-14,0
closedbook,1.4086314e-09,1
closedbook,0.2,0
closedbook,0.99999994,1
grounded,0.8129105,1
closedbook,8.446765e-08,0
grounded,0.9999998,1
closedbook,1.1776307e-05,0
closedbook,0.13142093,0
closedbook,0.30012658,1
closedbook,4.5280384e-11,1
closedbook,3.7112495e-09,0
math,1.0,1
grounded,3.2428538e-10,0
grounded,0.04767474,1
grounded,2.2287787e-10,0
grounded,1.0,1
grounded,1.0,1
closedbook,1.0,1
closedbook,1.3788965e-08,1
grounded,1.2973047e-11,1
closedbook,1.0,1
closedbook,6.7688693e-13,0
grounded,4.8681004e-10,0
closedbook,0.7327053,0
grounded,1.0,1
grounded,1.0,1
grounded,0.8260815,1
closedbook,3.4036012e-13,1
closedbook,0.9999998,1
grounded,6.2601806e-13,0
grounded,0.9999998,1
grounded,0.99999946,1
closedbook,0.5647014,1
closedbook,2.3455819e-08,1
closedbook,3.4863963e-09,1
closedbook,2.3491153e-11,0
closedbook,0.009273283,1
grounded,2.7379898e-05,0
closedbook,1.3232868e-09,0
closedbook,0.5030488,1
grounded,2.6843742e-07,0
closedbook,2.6618966e-11,0
closedbook,7.958926e-14,0
grounded,0.99999994,1
grounded,2.1356767e-08,1
